project,bug_id,revision,test_id,label,granularity,mean_test_runtime_seconds,std_test_runtime_seconds,min_test_runtime_seconds,max_test_runtime_seconds,mean_coverage_ratio,std_coverage_ratio,min_coverage_ratio,max_coverage_ratio,mean_covered_line_count,std_covered_line_count,min_covered_line_count,max_covered_line_count,mean_changed_line_coverage_ratio,std_changed_line_coverage_ratio,min_changed_line_coverage_ratio,max_changed_line_coverage_ratio,mean_executed_file_count,std_executed_file_count,min_executed_file_count,max_executed_file_count,mean_executed_function_count,std_executed_function_count,min_executed_function_count,max_executed_function_count,mean_changed_file_coverage_ratio,std_changed_file_coverage_ratio,min_changed_file_coverage_ratio,max_changed_file_coverage_ratio,pass_rate,n_triggering_tests,meta_workspace,meta_source_test_ids
httpie,4,fixed,__aggregate__,0,revision_aggregate,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,1.0,1.0,C:\Users\chenj\Desktop\MITACS\BugsInPy\workspace\httpie_4_fixed,test_Host_header_overwrite
httpie,5,buggy,__aggregate__,1,revision_aggregate,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,1.0,1.0,C:\Users\chenj\Desktop\MITACS\BugsInPy\workspace\httpie_5_buggy,test_escape_longsep
httpie,5,fixed,__aggregate__,0,revision_aggregate,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,1.0,1.0,C:\Users\chenj\Desktop\MITACS\BugsInPy\workspace\httpie_5_fixed,test_escape_longsep
tqdm,1,buggy,__aggregate__,1,revision_aggregate,1.2123139998875558,0.0,1.2123139998875558,1.2123139998875558,0.1450459652706843,0.0,0.1450459652706843,0.1450459652706843,142.0,0.0,142.0,142.0,0.0,0.0,0.0,0.0,8.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,C:\Users\chenj\Desktop\MITACS\BugsInPy\workspace\tqdm_1_buggy,test_enumerate
tqdm,1,fixed,__aggregate__,0,revision_aggregate,1.2055464000441134,0.0,1.2055464000441134,1.2055464000441134,0.1450459652706843,0.0,0.1450459652706843,0.1450459652706843,142.0,0.0,142.0,142.0,0.0,0.0,0.0,0.0,8.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,C:\Users\chenj\Desktop\MITACS\BugsInPy\workspace\tqdm_1_fixed,test_enumerate
tqdm,2,buggy,__aggregate__,1,revision_aggregate,1.188102699816227,0.0,1.188102699816227,1.188102699816227,0.1450459652706843,0.0,0.1450459652706843,0.1450459652706843,142.0,0.0,142.0,142.0,0.0,0.0,0.0,0.0,8.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,C:\Users\chenj\Desktop\MITACS\BugsInPy\workspace\tqdm_2_buggy,test_format_meter
tqdm,2,fixed,__aggregate__,0,revision_aggregate,1.4541838001459837,0.0,1.4541838001459837,1.4541838001459837,0.1450459652706843,0.0,0.1450459652706843,0.1450459652706843,142.0,0.0,142.0,142.0,0.0,0.0,0.0,0.0,8.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,C:\Users\chenj\Desktop\MITACS\BugsInPy\workspace\tqdm_2_fixed,test_format_meter
tqdm,3,buggy,__aggregate__,1,revision_aggregate,1.41902819997631,0.0,1.41902819997631,1.41902819997631,0.1450459652706843,0.0,0.1450459652706843,0.1450459652706843,142.0,0.0,142.0,142.0,0.0,0.0,0.0,0.0,8.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,C:\Users\chenj\Desktop\MITACS\BugsInPy\workspace\tqdm_3_buggy,test_bool
tqdm,3,fixed,__aggregate__,0,revision_aggregate,1.2620870000682771,0.0,1.2620870000682771,1.2620870000682771,0.1450459652706843,0.0,0.1450459652706843,0.1450459652706843,142.0,0.0,142.0,142.0,0.0,0.0,0.0,0.0,8.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,C:\Users\chenj\Desktop\MITACS\BugsInPy\workspace\tqdm_3_fixed,test_bool
tqdm,5,buggy,__aggregate__,1,revision_aggregate,1.422471399884671,0.0,1.422471399884671,1.422471399884671,0.1450459652706843,0.0,0.1450459652706843,0.1450459652706843,142.0,0.0,142.0,142.0,0.0,0.0,0.0,0.0,8.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,C:\Users\chenj\Desktop\MITACS\BugsInPy\workspace\tqdm_5_buggy,test_bool
tqdm,5,fixed,__aggregate__,0,revision_aggregate,1.732825699960813,0.0,1.732825699960813,1.732825699960813,0.1450459652706843,0.0,0.1450459652706843,0.1450459652706843,142.0,0.0,142.0,142.0,0.0,0.0,0.0,0.0,8.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,C:\Users\chenj\Desktop\MITACS\BugsInPy\workspace\tqdm_5_fixed,test_bool
tqdm,6,buggy,__aggregate__,1,revision_aggregate,2.54620959982276,0.0,2.54620959982276,2.54620959982276,0.1450459652706843,0.0,0.1450459652706843,0.1450459652706843,142.0,0.0,142.0,142.0,0.0,0.0,0.0,0.0,8.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,C:\Users\chenj\Desktop\MITACS\BugsInPy\workspace\tqdm_6_buggy,test_imap
tqdm,6,fixed,__aggregate__,0,revision_aggregate,1.5930017000064254,0.0,1.5930017000064254,1.5930017000064254,0.1450459652706843,0.0,0.1450459652706843,0.1450459652706843,142.0,0.0,142.0,142.0,0.0,0.0,0.0,0.0,8.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,C:\Users\chenj\Desktop\MITACS\BugsInPy\workspace\tqdm_6_fixed,test_imap
tqdm,7,buggy,__aggregate__,1,revision_aggregate,1.6581604999955744,0.0,1.6581604999955744,1.6581604999955744,0.1450459652706843,0.0,0.1450459652706843,0.1450459652706843,142.0,0.0,142.0,142.0,0.0,0.0,0.0,0.0,8.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,C:\Users\chenj\Desktop\MITACS\BugsInPy\workspace\tqdm_7_buggy,test_main
tqdm,7,fixed,__aggregate__,0,revision_aggregate,1.8787847000639888,0.0,1.8787847000639888,1.8787847000639888,0.1450459652706843,0.0,0.1450459652706843,0.1450459652706843,142.0,0.0,142.0,142.0,0.0,0.0,0.0,0.0,8.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,C:\Users\chenj\Desktop\MITACS\BugsInPy\workspace\tqdm_7_fixed,test_main
tqdm,8,buggy,__aggregate__,1,revision_aggregate,1.5263503999449313,0.0,1.5263503999449313,1.5263503999449313,0.1450459652706843,0.0,0.1450459652706843,0.1450459652706843,142.0,0.0,142.0,142.0,0.0,0.0,0.0,0.0,8.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,C:\Users\chenj\Desktop\MITACS\BugsInPy\workspace\tqdm_8_buggy,test_format_meter
tqdm,8,fixed,__aggregate__,0,revision_aggregate,1.535343199968338,0.0,1.535343199968338,1.535343199968338,0.1450459652706843,0.0,0.1450459652706843,0.1450459652706843,142.0,0.0,142.0,142.0,0.0,0.0,0.0,0.0,8.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,C:\Users\chenj\Desktop\MITACS\BugsInPy\workspace\tqdm_8_fixed,test_format_meter
tqdm,9,buggy,__aggregate__,1,revision_aggregate,1.424047650070861,0.051936350064352155,1.3721113000065088,1.4759840001352131,0.1450459652706843,0.0,0.1450459652706843,0.1450459652706843,142.0,0.0,142.0,142.0,0.0,0.0,0.0,0.0,8.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,C:\Users\chenj\Desktop\MITACS\BugsInPy\workspace\tqdm_9_buggy,"test_si_format,test_update"
tqdm,9,fixed,__aggregate__,0,revision_aggregate,1.3907296999823302,0.10107810003682971,1.2896515999455005,1.49180780001916,0.1450459652706843,0.0,0.1450459652706843,0.1450459652706843,142.0,0.0,142.0,142.0,0.0,0.0,0.0,0.0,8.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,C:\Users\chenj\Desktop\MITACS\BugsInPy\workspace\tqdm_9_fixed,"test_si_format,test_update"
youtube-dl,1,buggy,__aggregate__,1,revision_aggregate,0.013,0.0,0.013,0.013,0.2652007732185221,0.0,0.2652007732185221,0.2652007732185221,12073.0,0.0,12073.0,12073.0,0.0,0.0,0.0,0.0,479.0,0.0,479.0,479.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,C:\Users\chenj\Desktop\MITACS\BugsInPy\workspace\youtube-dl_1_buggy,test_match_str
youtube-dl,1,fixed,__aggregate__,0,revision_aggregate,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,1.0,1.0,C:\Users\chenj\Desktop\MITACS\BugsInPy\workspace\youtube-dl_1_fixed,test_match_str
youtube-dl,10,buggy,__aggregate__,1,revision_aggregate,39.276,0.0,39.276,39.276,0.2812966049653478,0.0,0.2812966049653478,0.2812966049653478,6413.0,0.0,6413.0,6413.0,0.0,0.0,0.0,0.0,354.0,0.0,354.0,354.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,C:\Users\chenj\Desktop\MITACS\BugsInPy\workspace\youtube-dl_10_buggy,test_js_to_json_realworld
youtube-dl,10,fixed,__aggregate__,0,revision_aggregate,0.001,0.0,0.001,0.001,0.2813404684621458,0.0,0.2813404684621458,0.2813404684621458,6414.0,0.0,6414.0,6414.0,0.0,0.0,0.0,0.0,354.0,0.0,354.0,354.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,C:\Users\chenj\Desktop\MITACS\BugsInPy\workspace\youtube-dl_10_fixed,test_js_to_json_realworld
youtube-dl,11,buggy,__aggregate__,1,revision_aggregate,0.023,0.0,0.023,0.023,0.2601049378875547,0.0,0.2601049378875547,0.2601049378875547,12542.0,0.0,12542.0,12542.0,0.0,0.0,0.0,0.0,467.0,0.0,467.0,467.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,C:\Users\chenj\Desktop\MITACS\BugsInPy\workspace\youtube-dl_11_buggy,test_str_to_int
youtube-dl,11,fixed,__aggregate__,0,revision_aggregate,0.0,0.0,0.0,0.0,0.2601256766005101,0.0,0.2601256766005101,0.2601256766005101,12543.0,0.0,12543.0,12543.0,0.0,0.0,0.0,0.0,467.0,0.0,467.0,467.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,C:\Users\chenj\Desktop\MITACS\BugsInPy\workspace\youtube-dl_11_fixed,test_str_to_int
youtube-dl,12,buggy,__aggregate__,1,revision_aggregate,0.1,0.0,0.1,0.1,0.2697642452515828,0.0,0.2697642452515828,0.2697642452515828,12953.0,0.0,12953.0,12953.0,0.0,0.0,0.0,0.0,484.0,0.0,484.0,484.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,C:\Users\chenj\Desktop\MITACS\BugsInPy\workspace\youtube-dl_12_buggy,test_format_selection_string_ops
youtube-dl,12,fixed,__aggregate__,0,revision_aggregate,0.838,0.0,0.838,0.838,0.2705139953348883,0.0,0.2705139953348883,0.2705139953348883,12989.0,0.0,12989.0,12989.0,0.0,0.0,0.0,0.0,484.0,0.0,484.0,484.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,C:\Users\chenj\Desktop\MITACS\BugsInPy\workspace\youtube-dl_12_fixed,test_format_selection_string_ops
youtube-dl,13,buggy,__aggregate__,1,revision_aggregate,0.014,0.0,0.014,0.014,0.2630504945340968,0.0,0.2630504945340968,0.2630504945340968,12633.0,0.0,12633.0,12633.0,0.0,0.0,0.0,0.0,484.0,0.0,484.0,484.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,C:\Users\chenj\Desktop\MITACS\BugsInPy\workspace\youtube-dl_13_buggy,test_urljoin
youtube-dl,13,fixed,__aggregate__,0,revision_aggregate,0.001,0.0,0.001,0.001,0.2630296720458094,0.0,0.2630296720458094,0.2630296720458094,12632.0,0.0,12632.0,12632.0,0.0,0.0,0.0,0.0,484.0,0.0,484.0,484.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,C:\Users\chenj\Desktop\MITACS\BugsInPy\workspace\youtube-dl_13_fixed,test_urljoin
youtube-dl,14,buggy,__aggregate__,1,revision_aggregate,0.026,0.0,0.026,0.026,0.2630278106631774,0.0,0.2630278106631774,0.2630278106631774,12664.0,0.0,12664.0,12664.0,0.0,0.0,0.0,0.0,457.0,0.0,457.0,457.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,C:\Users\chenj\Desktop\MITACS\BugsInPy\workspace\youtube-dl_14_buggy,test_youtube_chapters
youtube-dl,14,fixed,__aggregate__,0,revision_aggregate,0.001,0.0,0.001,0.001,0.2639848890549432,0.0,0.2639848890549432,0.2639848890549432,12718.0,0.0,12718.0,12718.0,0.0,0.0,0.0,0.0,457.0,0.0,457.0,457.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,C:\Users\chenj\Desktop\MITACS\BugsInPy\workspace\youtube-dl_14_fixed,test_youtube_chapters
youtube-dl,15,buggy,__aggregate__,1,revision_aggregate,0.014,0.0,0.014,0.014,0.2678245590322363,0.0,0.2678245590322363,0.2678245590322363,11889.0,0.0,11889.0,11889.0,0.0,0.0,0.0,0.0,481.0,0.0,481.0,481.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,C:\Users\chenj\Desktop\MITACS\BugsInPy\workspace\youtube-dl_15_buggy,test_js_to_json_realworld
youtube-dl,15,fixed,__aggregate__,0,revision_aggregate,0.003,0.0,0.003,0.003,0.2678245590322363,0.0,0.2678245590322363,0.2678245590322363,11889.0,0.0,11889.0,11889.0,0.0,0.0,0.0,0.0,481.0,0.0,481.0,481.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,C:\Users\chenj\Desktop\MITACS\BugsInPy\workspace\youtube-dl_15_fixed,test_js_to_json_realworld
youtube-dl,16,buggy,__aggregate__,1,revision_aggregate,0.021,0.0,0.021,0.021,0.2673354493431874,0.0,0.2673354493431874,0.2673354493431874,11539.0,0.0,11539.0,11539.0,0.0,0.0,0.0,0.0,474.0,0.0,474.0,474.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,C:\Users\chenj\Desktop\MITACS\BugsInPy\workspace\youtube-dl_16_buggy,test_dfxp2srt
youtube-dl,16,fixed,__aggregate__,0,revision_aggregate,0.019,0.0,0.019,0.019,0.2703472881866413,0.0,0.2703472881866413,0.2703472881866413,11669.0,0.0,11669.0,11669.0,0.0,0.0,0.0,0.0,474.0,0.0,474.0,474.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,C:\Users\chenj\Desktop\MITACS\BugsInPy\workspace\youtube-dl_16_fixed,test_dfxp2srt
youtube-dl,17,buggy,__aggregate__,1,revision_aggregate,0.019,0.0,0.019,0.019,0.2674170477195451,0.0,0.2674170477195451,0.2674170477195451,11404.0,0.0,11404.0,11404.0,0.0,0.0,0.0,0.0,472.0,0.0,472.0,472.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,C:\Users\chenj\Desktop\MITACS\BugsInPy\workspace\youtube-dl_17_buggy,test_cli_bool_option
youtube-dl,17,fixed,__aggregate__,0,revision_aggregate,0.0,0.0,0.0,0.0,0.267451403381246,0.0,0.267451403381246,0.267451403381246,11406.0,0.0,11406.0,11406.0,0.0,0.0,0.0,0.0,472.0,0.0,472.0,472.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,C:\Users\chenj\Desktop\MITACS\BugsInPy\workspace\youtube-dl_17_fixed,test_cli_bool_option
youtube-dl,18,buggy,__aggregate__,1,revision_aggregate,0.044,0.0,0.044,0.044,0.276776646749014,0.0,0.276776646749014,0.276776646749014,11719.0,0.0,11719.0,11719.0,0.0,0.0,0.0,0.0,473.0,0.0,473.0,473.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,C:\Users\chenj\Desktop\MITACS\BugsInPy\workspace\youtube-dl_18_buggy,test_do_not_override_ie_key_in_url_transparent
youtube-dl,18,fixed,__aggregate__,0,revision_aggregate,0.028,0.0,0.028,0.028,0.2768238822890342,0.0,0.2768238822890342,0.2768238822890342,11721.0,0.0,11721.0,11721.0,0.0,0.0,0.0,0.0,473.0,0.0,473.0,473.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,C:\Users\chenj\Desktop\MITACS\BugsInPy\workspace\youtube-dl_18_fixed,test_do_not_override_ie_key_in_url_transparent
youtube-dl,19,buggy,__aggregate__,1,revision_aggregate,0.36,0.0,0.36,0.36,0.2709685058015628,0.0,0.2709685058015628,0.2709685058015628,11443.0,0.0,11443.0,11443.0,0.0,0.0,0.0,0.0,473.0,0.0,473.0,473.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,C:\Users\chenj\Desktop\MITACS\BugsInPy\workspace\youtube-dl_19_buggy,test_prepare_filename
youtube-dl,19,fixed,__aggregate__,0,revision_aggregate,0.387,0.0,0.387,0.387,0.2710439703549357,0.0,0.2710439703549357,0.2710439703549357,11447.0,0.0,11447.0,11447.0,0.0,0.0,0.0,0.0,473.0,0.0,473.0,473.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,C:\Users\chenj\Desktop\MITACS\BugsInPy\workspace\youtube-dl_19_fixed,test_prepare_filename
youtube-dl,2,buggy,__aggregate__,1,revision_aggregate,0.08,0.0,0.08,0.08,0.2747517372657844,0.0,0.2747517372657844,0.2747517372657844,11980.0,0.0,11980.0,11980.0,0.0,0.0,0.0,0.0,485.0,0.0,485.0,485.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,C:\Users\chenj\Desktop\MITACS\BugsInPy\workspace\youtube-dl_2_buggy,test_parse_mpd_formats
youtube-dl,2,fixed,__aggregate__,0,revision_aggregate,0.055,0.0,0.055,0.055,0.275579715131081,0.0,0.275579715131081,0.275579715131081,12015.0,0.0,12015.0,12015.0,0.0,0.0,0.0,0.0,485.0,0.0,485.0,485.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,C:\Users\chenj\Desktop\MITACS\BugsInPy\workspace\youtube-dl_2_fixed,test_parse_mpd_formats
youtube-dl,20,buggy,__aggregate__,1,revision_aggregate,0.011,0.0,0.011,0.011,0.2678537601818526,0.0,0.2678537601818526,0.2678537601818526,11312.0,0.0,11312.0,11312.0,0.0,0.0,0.0,0.0,473.0,0.0,473.0,473.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,C:\Users\chenj\Desktop\MITACS\BugsInPy\workspace\youtube-dl_20_buggy,test_get_element_by_attribute
youtube-dl,20,fixed,__aggregate__,0,revision_aggregate,0.003,0.0,0.003,0.003,0.2678537601818526,0.0,0.2678537601818526,0.2678537601818526,11312.0,0.0,11312.0,11312.0,0.0,0.0,0.0,0.0,473.0,0.0,473.0,473.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,C:\Users\chenj\Desktop\MITACS\BugsInPy\workspace\youtube-dl_20_fixed,test_get_element_by_attribute
youtube-dl,21,buggy,__aggregate__,1,revision_aggregate,0.05,0.0,0.05,0.05,0.2696778642498276,0.0,0.2696778642498276,0.2696778642498276,10950.0,0.0,10950.0,10950.0,0.0,0.0,0.0,0.0,467.0,0.0,467.0,467.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,C:\Users\chenj\Desktop\MITACS\BugsInPy\workspace\youtube-dl_21_buggy,test_urljoin
youtube-dl,21,fixed,__aggregate__,0,revision_aggregate,0.001,0.0,0.001,0.001,0.270168439716312,0.0,0.270168439716312,0.270168439716312,10971.0,0.0,10971.0,10971.0,0.0,0.0,0.0,0.0,467.0,0.0,467.0,467.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,C:\Users\chenj\Desktop\MITACS\BugsInPy\workspace\youtube-dl_21_fixed,test_urljoin
youtube-dl,22,buggy,__aggregate__,1,revision_aggregate,0.224,0.0,0.224,0.224,0.2802086713426353,0.0,0.2802086713426353,0.2802086713426353,11226.0,0.0,11226.0,11226.0,0.0,0.0,0.0,0.0,461.0,0.0,461.0,461.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,C:\Users\chenj\Desktop\MITACS\BugsInPy\workspace\youtube-dl_22_buggy,test_match_filter
youtube-dl,22,fixed,__aggregate__,0,revision_aggregate,0.413,0.0,0.413,0.413,0.280462237308441,0.0,0.280462237308441,0.280462237308441,11237.0,0.0,11237.0,11237.0,0.0,0.0,0.0,0.0,461.0,0.0,461.0,461.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,C:\Users\chenj\Desktop\MITACS\BugsInPy\workspace\youtube-dl_22_fixed,test_match_filter
